page_id	title	creation	age	views	page_edits	editors	len	references	talks	talkers	links	linked	urls	ref_urls	ref_pubs
18342427	Iron_Dome	2008	12	1629240	1401	550	117553	127	223	93	303	188	170	124	1
18361730	Honorific_nicknames_in_popular_music	2008	12	214522	8599	2295	378199	777	2246	647	859	464	917	668	69
18366271	Nick_Jonas	2007	14	896909	3608	1275	122339	216	1082	505	357	792	294	206	0
18390537	List_of_inactive_United_States_Navy_aircraft_squadrons	2008	12	5348	1887	211	324748	28	44	18	842	395	42	26	1
18391688	Piccaninnie_Ponds_Conservation_Park	2008	12	1416	111	37	10767	17	17	13	2160	503	25	17	1
18397250	Organic_solar_cell	2008	12	16992	365	179	101296	110	27	20	331	205	68	21	105
18398577	Somatic_evolution_in_cancer	2008	12	2538	165	83	78227	114	5	3	153	40	75	24	113
18413531	Sustainability	2002	18	110463	8192	2596	188875	205	4119	279	914	2639	276	112	65
18426501	Harvard_University	2001	19	536066	10470	4395	85406	148	2427	469	917	29652	212	131	16
18426568	NASA	2001	19	357230	8289	3419	165063	183	1032	452	1355	18150	317	169	18
18426653	Palpatine	2002	19	165284	10119	3426	106976	108	1082	343	587	457	94	64	31
18449273	Maya_civilization	2002	19	316187	7629	2734	193595	138	888	366	750	2170	105	60	116
18482905	List_of_Coronation_Street_characters	2005	15	265026	20258	4410	13709	1	983	159	364	271	3	1	0
18501576	List_of_minor_planets:_188001–189000	2008	12	78	59	18	197679	0	10	10	110	94	2003	0	0
18501585	List_of_minor_planets:_189001–190000	2008	12	62	54	16	193720	0	10	10	142	125	2003	0	0
18508684	Countries_of_the_United_Kingdom	2008	12	231043	2352	921	36056	37	1227	116	523	26504	36	23	6
18514671	Roblox	2008	12	775879	3649	883	54352	51	2946	999	141	159	118	49	1
18528636	Maya_Yoshida	2008	12	28199	866	399	141504	372	12	10	354	282	389	364	0
18545516	List_of_Iraqi_security_forces_fatality_reports_in_Iraq	2008	12	401	531	49	205632	655	9	6	92	2	742	655	0
18563588	Terrorism_in_the_United_States	2005	15	98076	3617	1374	349458	324	379	102	1579	586	409	320	9
18580673	Frankenstein	2001	19	288336	8649	4517	106934	81	662	282	520	1081	116	73	24
18582416	Tim_Tebow	2005	15	979300	4284	1647	140066	242	765	275	1149	1215	279	237	3
18592321	Oklahoma_City_Thunder_all-time_roster	2008	12	3287	238	76	161092	342	7	7	645	104	343	342	0
18598148	Arthur_C._Clarke	2001	19	162289	3829	1942	121013	129	769	259	2305	2925	189	121	19
18598186	Stan_Lee	2002	19	610217	6265	2803	133433	157	459	255	2338	3309	189	126	25
18603746	Beijing	2001	19	301786	9234	3856	204152	143	909	268	2204	24786	232	116	20
18617829	Jack_Nicholson	2002	19	904922	6242	3371	75078	46	240	142	1024	2144	98	37	6
18618239	U.S._state	2001	19	1242142	5063	2367	78244	72	890	260	877	105827	88	67	10
18621887	Ted_Kaczynski	2001	19	1230395	7230	3303	115302	153	1452	367	324	309	202	134	24
18645570	Descendants_of_Ferdinand_II_of_Aragon_and_Isabella_I_of_Castile	2008	12	6370	213	82	357311	1	13	8	1861	6	237	1	1
18660332	Auckland	2001	19	182253	5683	2089	142462	101	518	141	813	14498	155	93	5
18667488	List_of_sequenced_plastomes	2008	12	707	368	78	99781	156	11	6	436	19	66	27	153
18672089	List_of_people_from_Italy	2002	18	8421	4546	1002	262815	10	600	40	2981	270	233	8	3
18717338	United_States_dollar	2002	19	393683	7475	3874	100331	66	746	283	1058	20664	169	60	6
18717529	StarCraft_II:_Wings_of_Liberty	2005	15	34907	5147	2214	71945	117	1786	514	198	189	125	111	0
18717883	Jodie_Foster	2002	19	875289	5512	2343	105505	131	1429	335	847	1466	183	119	13
18721790	Child_sexual_abuse	2001	19	224914	3844	1077	144252	224	1802	295	500	1850	171	95	139
18723322	Booker_T_(wrestler)	2004	17	308138	8790	4100	103089	146	331	158	1373	1467	153	134	3
18725383	Cameron_Boyce	2008	12	920509	4649	1975	32128	47	243	77	112	110	74	47	0
18762503	Russo-Georgian_War	2008	12	110427	13434	2066	227303	290	14282	1244	736	1020	320	286	13
18783051	Quaternary_extinction	2008	12	28264	1495	426	239551	323	70	37	1161	23	295	156	208
18786251	Batting_average_(baseball)	2008	12	59970	76	36	24776	31	8	4	104	13791	36	31	0
18789571	List_of_2008_Summer_Olympics_medal_winners	2008	12	2954	1112	258	146239	25	38	17	2419	84	36	25	0
18793578	Death_of_Caylee_Anthony	2008	12	1412759	4682	1511	142564	155	4972	349	170	85	213	154	1
18796137	The_Horus_Heresy	2008	12	119081	2098	316	166924	248	197	31	221	33	97	73	104
18796975	BF	2002	19	3320749	704	446	1872	0	4	4	30	7	0	0	0
18802919	Wave_shoaling	2008	12	5075	104	33	12316	8	3	3	1994	1818	11	6	8
18803164	English_people	2004	17	103464	6724	2275	86066	69	4182	457	704	11684	116	53	19
18822982	List_of_2004_Summer_Olympics_medal_winners	2008	12	2058	759	132	143548	30	5	3	2382	138	35	29	0
18835362	Edward_VIII	2002	19	2516939	4961	1853	93771	60	769	252	763	2490	109	46	15
18842323	Sea	2001	20	84846	4098	1561	157550	246	521	136	1055	1322	233	165	110
18857184	List_of_Major_League_Baseball_players_(Wa–Wh)	2008	12	208	115	31	159773	523	4	4	672	4	522	521	0
18857323	List_of_Major_League_Baseball_players_(Wi–Wz)	2008	12	265	142	36	150158	474	4	4	613	4	467	466	0
18880184	Ancient_Egyptian_race_controversy	2008	12	98203	4358	682	127735	140	10864	527	278	34	133	88	62
